description,category,merchant_base
POS Xbox Game Pass Bucuresti #221,Entertainment,Xbox Game Pass
Cumparare GEAM AUTO SERVICE Bucharest #001,Other,Geam Auto Service
Achizitie bistro french Galati #14,Restaurants,Bistro French
Plata cu cardul Carte tehnica online AFI Cotroceni #221,Education,Carte tehnica online
POS CARTURESTI Galati AUT:887412,Education,Carturesti
POS Direct Deposit Tech Bucharest (RO),Salary,Direct Deposit Tech
PURCHASE editura polirom carte Ploiesti #14,Education,Editura Polirom carte
POS Policlinica Titu Maiorescu AFI Cotroceni RO,Health,Policlinica Titu Maiorescu
PMT Hardee's Drumul Taberei #4321,Restaurants,Hardee's
Plata POS ENGIE ROMANIA Sibiu RO,Utilities,Engie Romania
Cumparare etf sxr8 Mall #4321,Investments,ETF SXR8
PMT POS Rata credit ipotecar Galati RID:34521,Housing,Rata credit ipotecar
PURCHASE Booking.com RO RID:34521,Travel,Booking.com
Plata cu cardul cec bank transfer Drumul Taberei #4321,Transfer,CEC Bank transfer
Pandora bijuterii Online #4321,Other,Pandora bijuterii
Cumparare Real estate REIT Constanta #221,Investments,Real estate REIT
Plata cu cardul BOLT SCOOTER Online AUT:887412,Transport,Bolt Scooter
PMT Direct Deposit Tech Galati #4321,Salary,Direct Deposit Tech
PMT POS BLACK CAB Iasi RID:34521,Transport,Black Cab
PMT POS ITP Service Bucuresti RID:34521,Transport,ITP Service
PMT POS OTP Bank schimb Cotroceni #001,Transfer,OTP Bank schimb
PMT POS Mega Image Pipera,Groceries,Mega Image
POS MASTERCLASS ANNUAL EU RID:34521,Subscriptions,MasterClass annual
PMT POS realestate romania RO #221,Housing,RealEstate Romania
POS la brutaria Constanta 12345,Restaurants,La Brutaria
Achizitie PET SHOP ANIMALIER Cotroceni RO,Other,Pet Shop Animalier
PMT POS distrigaz sud Floreasca (RO),Utilities,Distrigaz Sud
Cumparare Macromex ROM #14,Groceries,Macromex
Plata POS Virament BCR catre BRD Cluj (RO),Transfer,Virament BCR catre BRD
PURCHASE Carrefour Express Cluj,Groceries,Carrefour Express
POS Electrician apartament Downtown #14,Housing,Electrician apartament
Cumparare hertz rent a car Online RO,Travel,Hertz Rent a Car
Plata POS Revolut transfer to friend Sibiu AUT:887412,Transfer,Revolut transfer to friend
POS VIETNAM RESTAURANT Vitan RO,Restaurants,Vietnam Restaurant
POS garantie chirie Store 04 RO,Housing,Garantie chirie
PURCHASE E.ON Energie Romania Constanta RO,Utilities,E.ON Energie Romania
PURCHASE WOLT Center,Restaurants,Wolt
PMT POS SPRINGTIME Cotroceni #14,Restaurants,Springtime
Plata POS 5 to Go Center,Restaurants,5 to Go
POS Cabinet Cardiologie Store 04 RO,Health,Cabinet Cardiologie
Recoltare analize Floreasca AUT:887412,Health,Recoltare analize
Achizitie VELORENT Pipera (RO),Transport,VeloRent
Achizitie freenow Aviatorilor #001,Transport,FreeNow
PMT NOTION AI Vitan (RO),Subscriptions,Notion AI
POS Farmacia Tei Mall Vitan,Health,Farmacia Tei
Tichet cultural Edenred Iasi,Other,Tichet cultural Edenred
Plata cu cardul Kayak Oradea #14,Travel,Kayak
Achizitie Casa Inteligenta administrare Online AUT:887412,Housing,Casa Inteligenta administrare
Cumparare Piata Matache Pipera #14,Groceries,Piata Matache
Plata cu cardul SPALATORIE AUTO Floreasca RO,Transport,Spalatorie Auto
TRANSFER REVOLUT TO BCR Drumul Taberei #4321,Transfer,Transfer Revolut to BCR
PURCHASE RAMSES SUSHI Sibiu #001,Restaurants,Ramses Sushi
PMT POS Tichet feribot AFI Cotroceni AUT:887412,Travel,Tichet feribot
Achizitie întreținere apartament Ploiesti 12345,Housing,Întreținere apartament
Plata cu cardul DEGIRO deposit Pipera RO,Investments,DEGIRO deposit
Achizitie CEZ ROMANIA Drumul Taberei,Utilities,CEZ Romania
Ryanair Cluj #221,Travel,Ryanair
Cumparare Grammarly Premium Cotroceni #4321,Subscriptions,Grammarly Premium
Plata POS DeepL Pro Cluj AUT:887412,Subscriptions,DeepL Pro
PMT SALARIU LUNA IUNIE Galati,Salary,Salariu luna iunie
mic.ro Center #4321,Groceries,Mic.ro
Plata cu cardul EUROSPAR Oradea RO,Groceries,Eurospar
PURCHASE TIER SCOOTER ROM #001,Transport,Tier Scooter
PURCHASE payroll june 2026 Center (RO),Salary,Payroll June 2026
PMT POS Supermarket Local Cluj,Groceries,Supermarket Local
PMT AUDIBLE Cluj #14,Subscriptions,Audible
Plata POS SUPERMARKET LOCAL Timisoara #001,Groceries,Supermarket Local
FOND MUTUAL BT ASSET MGMT Timisoara (RO),Investments,Fond mutual BT Asset Mgmt
PMT factura gaze Oradea (RO),Utilities,Factura gaze
PURCHASE La Placinte Branch 12 #221,Restaurants,La Placinte
Achizitie HERTZ RENT A CAR EU AUT:887412,Travel,Hertz Rent a Car
Plata cu cardul Park Lake bowling Cotroceni #221,Entertainment,Park Lake bowling
Plata cu cardul PLATA FREELANCE PROIECT Online,Salary,Plata freelance proiect
PMT POS cadou online Aviatorilor (RO),Other,Cadou online
PMT POS SPEAKEASY Sun Plaza RID:34521,Restaurants,Speakeasy
Plata cu cardul VIATOR TOUR Constanta 12345,Travel,Viator tour
POS Service Auto Andrei Vitan #4321,Transport,Service Auto Andrei
PURCHASE Profi EU #001,Groceries,Profi
PMT POS Acuarela Cafe Bucharest,Restaurants,Acuarela Cafe
Plata cu cardul uber romania Floreasca 12345,Transport,Uber Romania
raiffeisen virament Branch 12 AUT:887412,Transfer,Raiffeisen virament
PURCHASE Plata contract drepturi autor Store 04 RO,Salary,Plata contract drepturi autor
Cumparare TINDER GOLD Online #221,Subscriptions,Tinder Gold
POS TEATRUL NATIONAL ROM AUT:887412,Entertainment,Teatrul National
PMT POS Hostel Friends Drumul Taberei #14,Travel,Hostel Friends
ROSETTA STONE Vitan (RO),Education,Rosetta Stone
PMT Medic de familie Brasov #001,Health,Medic de familie
PMT FESTIVAL AWAKE Bucharest 12345,Entertainment,Festival Awake
Plata POS PILON III PENSIE PRIVATA Pipera #221,Investments,Pilon III pensie privata
PURCHASE Patreon membership Center #221,Subscriptions,Patreon membership
Plata POS BAR DE ZI FLOREASCA Drumul Taberei RID:34521,Restaurants,Bar de zi Floreasca
Cumparare Brutaria Paul Sun Plaza #4321,Groceries,Brutaria Paul
PMT Office 365 Promenada 12345,Subscriptions,Office 365
Achizitie lufthansa group Iasi RID:34521,Travel,Lufthansa Group
Achizitie CRYPTO.COM Bucharest,Investments,Crypto.com
Plata cu cardul masterclass course Bucuresti AUT:887412,Education,MasterClass course
PURCHASE TELEKOM ROMANIA Bucharest 12345,Utilities,Telekom Romania
Achizitie PRAKTIKER Bucuresti 12345,Other,Praktiker
Plata cu cardul VeloRent Bucharest #4321,Transport,VeloRent
PURCHASE SPALATORIE AUTO Galati #4321,Transport,Spalatorie Auto
PURCHASE CNAIR Rovinieta Baneasa 12345,Transport,CNAIR Rovinieta
Achizitie ALIEXPRESS ORDER Vitan,Other,Aliexpress order
Plata POS Billa Brasov #221,Groceries,Billa
Plata POS Rezervare hotel Predeal Center,Travel,Rezervare hotel Predeal
PURCHASE Linea Closer to the Moon Pipera 12345,Restaurants,Linea Closer to the Moon
Plata cu cardul shopmagazin Mall RO,Groceries,ShopMagazin
POS fresca Park Lake (RO),Restaurants,Fresca
PMT ABOUT YOU Constanta 12345,Other,About You
Achizitie Plata chirie iulie Brasov AUT:887412,Housing,Plata chirie iulie
POS CENTRUL MEDICAL AVIATORILOR Bucharest,Health,Centrul Medical Aviatorilor
PMT POS Spotify Downtown #001,Subscriptions,Spotify
Cumparare Geam Auto Service RO 12345,Other,Geam Auto Service
Achizitie ENERGIEA BAR Aviatorilor #14,Restaurants,Energiea Bar
PMT iabilet Bucuresti #14,Entertainment,iaBilet
klm EU #4321,Travel,KLM
Cumparare Transfer intern Pipera RID:34521,Transfer,Transfer intern
M60 COFFEE ROM (RO),Restaurants,M60 Coffee
Achizitie Setapp EU RO,Subscriptions,Setapp
Plata POS PROFI LOCO Oradea RO,Groceries,Profi Loco
Cumparare Subway Branch 12 #221,Restaurants,Subway
PURCHASE TAROM FLIGHT RO,Transport,Tarom flight
Plata cu cardul Fashion Days Bucharest #001,Other,Fashion Days
Cumparare Coinbase buy Vitan #221,Investments,Coinbase buy
PMT HERVIS SPORTS Brasov RO,Other,Hervis Sports
POS Liceul Cantemir Baneasa AUT:887412,Education,Liceul Cantemir
POS Restaurant centrul vechi RO RID:34521,Restaurants,Restaurant centrul vechi
Plata cu cardul excursie italia EU #14,Travel,Excursie Italia
Plata POS Trader Joe's Sun Plaza RID:34521,Groceries,Trader Joe's
PMT praktiker Drumul Taberei #14,Other,Praktiker
Cumparare opera nationala Galati AUT:887412,Entertainment,Opera Nationala
POS PENSIUNE SINAIA Galati #14,Travel,Pensiune Sinaia
POS TAROM FLIGHT Mall Vitan RID:34521,Transport,Tarom flight
PMT Profi City Center,Groceries,Profi City
POS BlackRock iShares Drumul Taberei #4321,Investments,BlackRock iShares
bilet master Bucuresti #4321,Entertainment,Bilet Master
Plata cu cardul STARBUCKS Bucuresti AUT:887412,Restaurants,Starbucks
Plata cu cardul Vueling Iasi RO,Travel,Vueling
PMT POS fmi bucuresti Sun Plaza 12345,Education,FMI Bucuresti
Plata cu cardul HIDROELECTRICA VANZARE Sun Plaza 12345,Utilities,Hidroelectrica vanzare
PMT POS bijuterii b&d Store 04 #4321,Other,Bijuterii B&D
POS disney+ Bucharest,Subscriptions,Disney+
POS BRUTARIA BOROMIR Iasi AUT:887412,Groceries,Brutaria Boromir
Achizitie Plata contract drepturi autor Park Lake (RO),Salary,Plata contract drepturi autor
Achizitie FESTIVAL ELECTRIC CASTLE Promenada (RO),Entertainment,Festival Electric Castle
Bershka shop EU RO,Other,Bershka shop
Plata cu cardul CITY TOUR LISBON ROM #221,Travel,City tour Lisbon
Achizitie Sala fitness 7card Ploiesti,Health,Sala fitness 7card
Plata cu cardul BOWLING COSMOS Online (RO),Entertainment,Bowling Cosmos
PMT WOLT Brasov #14,Restaurants,Wolt
Plata POS SANADOR Branch 12,Health,Sanador
PMT POS 1PASSWORD EU #14,Subscriptions,1Password
Plata POS Metrorex Abonament Mall,Transport,Metrorex Abonament
PURCHASE Cursuri online IT Iasi RID:34521,Education,Cursuri online IT
POS Cosmetic & Food Shop Cluj,Groceries,Cosmetic & Food Shop
POS OPERA BUCURESTI Store 04 #14,Entertainment,Opera Bucuresti
Plata cu cardul PARCARE PIATA VICTORIEI EU #001,Transport,Parcare Piata Victoriei
PMT gold purchase bnr Branch 12 (RO),Investments,Gold purchase BNR
taxi pelicanul Branch 12 #221,Transport,Taxi Pelicanul
Achizitie POPEYES LOUISIANA KITCHEN Aviatorilor AUT:887412,Restaurants,Popeyes Louisiana Kitchen
PURCHASE METRO CASH & CARRY Aviatorilor RO,Groceries,Metro Cash & Carry
Cumparare PATISERIE PARISUL EU RID:34521,Other,Patiserie Parisul
PURCHASE revolut transfer to friend Timisoara 12345,Transfer,Revolut transfer to friend
Cumparare Direct Deposit Payroll Park Lake (RO),Salary,Direct Deposit Payroll
Cumparare Pharmacy 24/7 Center #001,Health,Pharmacy 24/7
Plata cu cardul OMV Downtown,Transport,OMV
PMT trading 212 invest Promenada RO,Investments,Trading 212 Invest
PURCHASE plata freelance proiect Store 04 (RO),Salary,Plata freelance proiect
PMT POS Joc PC Steam Baneasa RID:34521,Entertainment,Joc PC Steam
Plata POS Wage Transfer Floreasca RID:34521,Salary,Wage Transfer
Achizitie PLATA ONLINE GENERIC ROM AUT:887412,Other,Plata online generic
Achizitie Festival Electric Castle Drumul Taberei RO,Entertainment,Festival Electric Castle
Plata cu cardul walmart grocery Downtown (RO),Groceries,Walmart Grocery
POS factura gaze ROM #221,Utilities,Factura gaze
PMT POS MEDLIFE CONSTANTA Center AUT:887412,Health,MedLife Constanta
Plata POS NINTENDO SWITCH ONLINE Cotroceni (RO),Entertainment,Nintendo Switch Online
Plata cu cardul Rovinieta Cluj RID:34521,Transport,Rovinieta
Plata cu cardul Tommy Hilfiger Baneasa,Other,Tommy Hilfiger
PMT POS BAR DE ZI FLOREASCA Pipera (RO),Restaurants,Bar de zi Floreasca
PMT POS termoenergetica Branch 12 #221,Utilities,Termoenergetica
PMT INTERNET FIBRA OPTICA EU RID:34521,Utilities,Internet fibra optica
disney+ Iasi #14,Subscriptions,Disney+
POS CABINET ORTOPEDIE Online #221,Health,Cabinet Ortopedie
Plata POS BRINGO Online RID:34521,Restaurants,Bringo
Cumparare XTB invest Center (RO),Investments,XTB invest
PMT direct deposit tech Vitan 12345,Salary,Direct Deposit Tech
PMT POS YOUTUBE PREMIUM ROM RID:34521,Subscriptions,YouTube Premium
Plata POS Inmedio Cotroceni AUT:887412,Groceries,Inmedio
POS KLM Vitan,Travel,KLM
Plata POS Mega Image Oradea RO,Groceries,Mega Image
Achizitie LC Waikiki Mall Vitan RO,Other,LC Waikiki
PURCHASE PATISERIE PARISUL Downtown RO,Other,Patiserie Parisul
PMT POS Libraria Mihai Eminescu ROM #221,Education,Libraria Mihai Eminescu
Cumparare NOTION PERSONAL Park Lake #221,Subscriptions,Notion Personal
Achizitie SCOALA GENERALA 4 Branch 12 #221,Education,Scoala Generala 4
Achizitie trattoria il calcio Center #221,Restaurants,Trattoria il Calcio
POS socar Center #001,Transport,SOCAR
PMT POS CALVIN KLEIN STORE Cluj RID:34521,Other,Calvin Klein store
PURCHASE helpnet RO 12345,Health,HelpNet
PMT POS Cafenea Origo Oradea AUT:887412,Restaurants,Cafenea Origo
Cumparare METROUL BUCURESTI RO 12345,Transport,Metroul Bucuresti
INSTALATOR URGENTA Online RO,Housing,Instalator urgenta
Plata cu cardul Telekom Romania Downtown,Utilities,Telekom Romania
Plata cu cardul Radet Bucuresti Downtown RO,Utilities,Radet Bucuresti
PMT POS Internet fibra optica Floreasca (RO),Utilities,Internet fibra optica
Plata POS BILET FILARMONICA ROM #001,Entertainment,Bilet Filarmonica
CALM APP RO 12345,Subscriptions,Calm app
Plata POS Pubul Trafic Promenada #4321,Restaurants,Pubul Trafic
PMT STORIA.RO LISTARE Aviatorilor (RO),Housing,Storia.ro listare
PLAFAR MAGAZIN Pipera 12345,Groceries,Plafar magazin
PMT POS RCS RDS Branch 12 12345,Utilities,RCS RDS
Cumparare WALMART GROCERY Aviatorilor AUT:887412,Groceries,Walmart Grocery
POS steam store Galati RO,Entertainment,Steam Store
PURCHASE HBO Max RO Online #14,Subscriptions,HBO Max RO
PURCHASE Bursa de studii AFI Cotroceni #4321,Education,Bursa de studii
PURCHASE McDonalds Bucharest RID:34521,Restaurants,McDonalds
Cumparare Air France Branch 12 RID:34521,Travel,Air France
POS Hostel Friends Promenada 12345,Travel,Hostel Friends
PMT POS Mini Market Pipera Park Lake 12345,Groceries,Mini Market Pipera
Cumparare Epic Games Drumul Taberei #001,Entertainment,Epic Games
PURCHASE SALVATI COPIII DONATIE Mall Vitan #001,Other,Salvati Copiii donatie
PMT POS brutaria boromir ROM RO,Groceries,Brutaria Boromir
Plata POS Notion Family Aviatorilor (RO),Subscriptions,Notion Family
Plata cu cardul Lifeclub Sala Bucuresti (RO),Health,Lifeclub Sala
WORLD CLASS ROMANIA Floreasca RO,Health,World Class Romania
PMT POS HARD ROCK CAFE Constanta 12345,Restaurants,Hard Rock Cafe
PURCHASE APA CLUJ Store 04 #4321,Utilities,Apa Cluj
Cumparare Chirie luna iunie Mall,Housing,Chirie luna iunie
PMT eMAG ROM,Other,eMAG
PURCHASE dropbox plus AFI Cotroceni (RO),Subscriptions,Dropbox Plus
POS Factura internet Downtown AUT:887412,Utilities,Factura internet
POS VIATOR TOUR Mall,Travel,Viator tour
Plata cu cardul SALARY EMPLOYER EU #001,Salary,SALARY EMPLOYER
POS BRD transfer extern EU 12345,Transfer,BRD transfer extern
Plata POS APPLE MUSIC Bucharest,Subscriptions,Apple Music
Cumparare Gaze Naturale Bucharest #221,Utilities,Gaze Naturale
PILON III PENSIE PRIVATA Iasi #221,Investments,Pilon III pensie privata
PMT POS Booking RO Vitan #001,Travel,Booking RO
Farmacia Tei Sun Plaza RO,Health,Farmacia Tei
Plata POS RENT JUNE Mall Vitan AUT:887412,Housing,RENT JUNE
Plata POS AUCHAN Sibiu #4321,Groceries,Auchan
Achizitie bershka shop Galati RO,Other,Bershka shop
Plata POS Bilet avion online EU #4321,Travel,Bilet avion online
Plata POS Pizzeria Presto Drumul Taberei,Restaurants,Pizzeria Presto
festival awake Store 04 #14,Entertainment,Festival Awake
Orange Romania Fixed Mall (RO),Utilities,Orange Romania Fixed
Plata POS VIRAMENT SALARIU NET RO #4321,Salary,VIRAMENT SALARIU NET
Plata cu cardul RATB Bucuresti 12345,Transport,RATB
POS Rata credit ipotecar Promenada 12345,Housing,Rata credit ipotecar
Wolt Mall #221,Restaurants,Wolt
Cumparare Spitalul Floreasca Aviatorilor #221,Health,Spitalul Floreasca
PMT BRINGO ROM 12345,Restaurants,Bringo
bootcamp coding EU,Education,Bootcamp Coding
Cumparare OLX Imobiliare Mall,Housing,OLX Imobiliare
PURCHASE Revolut Invest Center #001,Investments,Revolut Invest
PMT POS tazz EU RID:34521,Restaurants,Tazz
Plata cu cardul CENTRUL MEDICAL PLUTON Branch 12 RID:34521,Health,Centrul Medical Pluton
PMT github copilot Bucuresti RO,Subscriptions,GitHub Copilot
PMT Curs Corporate Training Iasi #001,Education,Curs Corporate Training
cinema city afi Oradea RID:34521,Entertainment,Cinema City AFI
Plata cu cardul REBU BUCURESTI Baneasa #4321,Utilities,REBU Bucuresti
brutaria paul Vitan #001,Groceries,Brutaria Paul
Achizitie Bricolaj Dedeman Mall,Other,Bricolaj Dedeman
Plata POS KLM Online #14,Travel,KLM
PMT MasterClass course Mall Vitan #4321,Education,MasterClass course
POS Chipotle Mexican Grill Bucharest 12345,Restaurants,Chipotle Mexican Grill
Plata cu cardul Rosetta Stone Timisoara #001,Education,Rosetta Stone
Cumparare RENT JULY RO #4321,Housing,RENT JULY
Plata cu cardul TakeAway Store 04 (RO),Restaurants,TakeAway
PURCHASE CRYPTO.COM Galati #001,Investments,Crypto.com
Plata cu cardul OBB AUSTRIA ROM,Transport,OBB Austria
POS BRD transfer extern Vitan AUT:887412,Transfer,BRD transfer extern
Plata cu cardul EMIRATES Downtown AUT:887412,Travel,Emirates
PURCHASE Festival Untold Vitan RO,Entertainment,Festival Untold
POS bistro vintage ROM RO,Restaurants,Bistro Vintage
Decont 7Card AFI Cotroceni RO,Salary,Decont 7Card
PMT MEDLIFE ROM RID:34521,Health,MedLife
Cumparare EQUITY BUY MSFT Constanta RID:34521,Investments,Equity buy MSFT
PMT Deutsche Bahn ROM #221,Transport,Deutsche Bahn
PMT TEATRUL COMEDIE Pipera #14,Entertainment,Teatrul Comedie
Plata POS TakeAway Iasi #001,Restaurants,TakeAway
Electrica Furnizare Aviatorilor AUT:887412,Utilities,Electrica Furnizare
Cumparare plafar magazin Online #14,Groceries,Plafar magazin
Plata cu cardul EVOMAG Branch 12,Other,Evomag
PMT RENT JULY Aviatorilor #4321,Housing,RENT JULY
Plata cu cardul GOOGLE STORAGE Galati 12345,Subscriptions,Google Storage
Plata POS Qatar Airways Oradea AUT:887412,Travel,Qatar Airways
PMT POS MADO PASTRY & COFFEE Center RO,Restaurants,Mado Pastry & Coffee
Plata cu cardul Notion Personal Floreasca,Subscriptions,Notion Personal
PMT sanador diagnostic Mall Vitan (RO),Health,Sanador Diagnostic
Plata cu cardul payroll april 2026 Sibiu RID:34521,Salary,Payroll April 2026
PMT POS UBER*TRIP Drumul Taberei #4321,Transport,UBER*TRIP
PURCHASE dm Timisoara (RO),Groceries,DM
Plata cu cardul CINEMAX Online,Entertainment,Cinemax
PMT POS digi*fact EU #221,Utilities,DIGI*FACT
PMT POS Farmacia Dona Floreasca #001,Health,Farmacia Dona
Achizitie PARCARE PIATA VICTORIEI Branch 12 #221,Transport,Parcare Piata Victoriei
Cumparare PUB DRUMUL TABEREI Iasi #14,Restaurants,Pub Drumul Taberei
Plata cu cardul Bolt Scooter Mall,Transport,Bolt Scooter
PURCHASE Setapp Promenada RID:34521,Subscriptions,Setapp
PMT WEBULL DEPOSIT Sibiu #4321,Investments,Webull deposit
PMT POS charles schwab RO #221,Investments,Charles Schwab
PMT POS tichete masa up Cotroceni RID:34521,Salary,Tichete masa Up
PMT POS Steam Store Constanta AUT:887412,Entertainment,Steam Store
PURCHASE Coursera Plus Galati,Education,Coursera Plus
PURCHASE chef burger Constanta AUT:887412,Restaurants,Chef Burger
POS Kayak Park Lake (RO),Travel,Kayak
Cumparare farmacia 24h ROM #221,Health,Farmacia 24h
POS puma store Bucuresti RID:34521,Other,Puma store
PMT Bolt.eu RO #4321,Transport,Bolt.eu
Edo Sushi Cluj #14,Restaurants,Edo Sushi
Plata POS TucanoCoffee Branch 12 RID:34521,Restaurants,TucanoCoffee
PMT POS SALA FITNESS 7CARD Vitan #221,Health,Sala fitness 7card
PMT POS Medium membership EU #221,Subscriptions,Medium membership
PMT Recoltare analize Downtown RID:34521,Health,Recoltare analize
Plata cu cardul Curtea Veche Bistro Center 12345,Restaurants,Curtea Veche Bistro
Achizitie APA NOVA BUCURESTI Online #4321,Utilities,Apa Nova Bucuresti
PMT POS Hotel Intercontinental ROM #221,Travel,Hotel Intercontinental
POS apa nova Baneasa AUT:887412,Utilities,Apa Nova
Cumparare Vanguard ETF Vitan #4321,Investments,Vanguard ETF
PMT POS teatrul national Floreasca #221,Entertainment,Teatrul National
Plata POS incasare de la maria Iasi 12345,Transfer,Incasare de la Maria
Cumparare PLATA DIVERSA Sibiu AUT:887412,Other,Plata diversa
SYNEVO LABORATOR Vitan,Health,Synevo Laborator
NOTION FAMILY Online,Subscriptions,Notion Family
PMT POS IBERIA RO #001,Travel,Iberia
POS Hidroelectrica Timisoara #001,Utilities,Hidroelectrica
Plata cu cardul PLATA DIVERSA Drumul Taberei AUT:887412,Other,Plata diversa
POS iaBilet concert Center #221,Entertainment,iaBilet concert
POS Încasare salariu Maria Galati #001,Transfer,Încasare salariu Maria
Adidas store Iasi RO,Other,Adidas store
PMT POS Salariu luna iunie Floreasca #14,Salary,Salariu luna iunie
ing home'bank transfer Center (RO),Transfer,ING Home'Bank transfer
PURCHASE ENGIE FACT Mall 12345,Utilities,ENGIE FACT
PURCHASE BOWLING COSMOS Cotroceni RID:34521,Entertainment,Bowling Cosmos
Cumparare Auto Service Pitesti Brasov #221,Transport,Auto Service Pitesti
Strava Premium Vitan #4321,Subscriptions,Strava Premium
POS plata online generic Bucuresti AUT:887412,Other,Plata online generic
Plata POS Real estate REIT Cluj #221,Investments,Real estate REIT
PMT POS Distrigaz Sud Downtown RID:34521,Utilities,Distrigaz Sud
PMT POS iService Apple ROM #14,Other,iService Apple
POS Kraken buy Online,Investments,Kraken buy
agoda Galati RID:34521,Travel,Agoda
PMT POS NordVPN Drumul Taberei (RO),Subscriptions,NordVPN
POS electrician apartament ROM #4321,Housing,Electrician apartament
salubrizare bucuresti Oradea (RO),Utilities,Salubrizare Bucuresti
Plata POS beauty salon pretty Store 04 (RO),Other,Beauty Salon Pretty
Plata cu cardul treehouse Constanta (RO),Education,Treehouse
Ryanair Online,Travel,Ryanair
Cumparare frizerie elite EU #001,Other,Frizerie Elite
Cumparare ASIGURARE TRAVEL CITY Cotroceni RO,Travel,Asigurare travel City
Achizitie Metrorex RO RID:34521,Transport,Metrorex
Florarie Online Center #14,Other,Florarie Online
Plata cu cardul telekom romania Mall,Utilities,Telekom Romania
Plata cu cardul chick-fil-a Vitan (RO),Restaurants,Chick-fil-A
PMT BINANCE SPOT ROM #14,Investments,Binance Spot
Electrica Furnizare Vitan #4321,Utilities,Electrica Furnizare
Plata POS BONUS ANUAL Bucuresti (RO),Salary,Bonus anual
PMT POS STARBUCKS COFFEE ROM RO,Restaurants,STARBUCKS COFFEE
POS Citire contor Sun Plaza RO,Utilities,Citire contor
Plata cu cardul SHELL ROMANIA Mall Vitan,Transport,Shell Romania
POS Reserved RO EU #001,Other,Reserved RO
Plata POS Salvati Copiii donatie Brasov RO,Other,Salvati Copiii donatie
Achizitie ROBINHOOD DEPOSIT Promenada AUT:887412,Investments,Robinhood deposit
PMT POS Autostrada A1 Branch 12 AUT:887412,Transport,Autostrada A1
Cabinet Veterinar Pet Doctor Cluj #14,Other,Cabinet Veterinar Pet Doctor
PMT wendys Mall Vitan 12345,Restaurants,Wendys
Plata cu cardul Teatrul National Floreasca #14,Entertainment,Teatrul National
Plata cu cardul GOG.COM ROM #4321,Entertainment,GOG.com
Plata POS Service Laptop Downtown,Other,Service Laptop
PURCHASE LinkedIn Premium Vitan RID:34521,Subscriptions,LinkedIn Premium
Asigurare apartament EU #221,Housing,Asigurare apartament
Plata POS Tim Hortons Center #14,Restaurants,Tim Hortons
Cumparare GAZE NATURALE Vitan RID:34521,Utilities,Gaze Naturale
PURCHASE TAROM BILET ONLINE Sun Plaza #4321,Travel,TAROM bilet online
Cumparare Tradeville Romania Drumul Taberei RID:34521,Investments,Tradeville Romania
PMT POS coursera Mall #14,Education,Coursera
POS XTB DEPOSIT Online #4321,Investments,XTB deposit
POS Patreon membership Pipera #4321,Subscriptions,Patreon membership
Plata POS CEZ VANZARE Center #221,Utilities,CEZ Vanzare
TAROM ROM 12345,Travel,TAROM
Cablu TV + Internet Bucharest #001,Utilities,Cablu TV + Internet
Plata POS Steam Wallet Ploiesti,Entertainment,Steam Wallet
Achizitie Codecademy Baneasa AUT:887412,Education,Codecademy
Achizitie PAYPAL PAYOUT Mall Vitan 12345,Transfer,PayPal payout
PURCHASE BT CAPITAL INVEST Galati 12345,Investments,BT Capital Invest
Plata cu cardul Metrorex Abonament Aviatorilor #4321,Transport,Metrorex Abonament
Plata POS chirie luna iulie Ploiesti 12345,Housing,Chirie luna iulie
Plata cu cardul Asigurare calatorie Allianz ROM RID:34521,Travel,Asigurare calatorie Allianz
PMT POS Universitatea Cluj Mall Vitan #221,Education,Universitatea Cluj
PMT Inchiriere masina Sixt Sibiu 12345,Travel,Inchiriere masina Sixt
Plata cu cardul ESCAPE ROOM LOGICA Sibiu,Entertainment,Escape Room Logica
PMT XBOX LIVE Iasi #14,Entertainment,Xbox Live
Achizitie pluralsight Baneasa (RO),Education,Pluralsight
Bere si grill Park Lake AUT:887412,Restaurants,Bere si grill
POS squarespace plan Store 04 #14,Subscriptions,Squarespace Plan
Plata cu cardul METAMASK TRANSACTION Iasi RID:34521,Investments,MetaMask transaction
Cumparare GAZE NATURALE ROMANIA Baneasa #14,Utilities,Gaze Naturale Romania
POS ESCAPE ROOM ADVENTURE AFI Cotroceni,Entertainment,Escape Room Adventure
PMT POS chirie studio Constanta AUT:887412,Housing,Chirie studio
Plata POS Autostrada A1 EU #14,Transport,Autostrada A1
Achizitie Croitorie de Lux Mall 12345,Other,Croitorie de Lux
PMT POS Restaurant centrul vechi Timisoara 12345,Restaurants,Restaurant centrul vechi
Plata cu cardul aldi Ploiesti (RO),Groceries,Aldi
Plata POS GOLD PURCHASE BNR Galati #221,Investments,Gold purchase BNR
Achizitie Expedia Brasov (RO),Travel,Expedia
PURCHASE Metrorex Cotroceni RID:34521,Transport,Metrorex
Achizitie ENEL*FACT Bucharest RID:34521,Utilities,ENEL*FACT
PURCHASE tesco Branch 12 #221,Groceries,Tesco
Cumparare Trading 212 deposit Vitan (RO),Investments,Trading 212 deposit
PMT POS CABINET FAMILIE DR. POPESCU EU RO,Health,Cabinet Familie Dr. Popescu
POS Pizzeria Bonita Online RO,Restaurants,Pizzeria Bonita
PMT PLATA CHIRIE IULIE Mall Vitan #14,Housing,Plata chirie iulie
Cumparare takeaway RO 12345,Restaurants,TakeAway
PURCHASE Starbucks Mall #14,Restaurants,Starbucks
